Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 08:17:00+01:00,45.25,45.25,45.25,45.25,0,0,0
2019-12-18 09:47:00+01:00,45.46,45.46,45.46,45.46,0,0,0
2019-12-18 09:53:00+01:00,45.46,45.46,45.46,45.46,0,0,0
2019-12-18 10:10:00+01:00,45.47,45.47,45.47,45.47,0,0,0
2019-12-18 11:46:00+01:00,45.48,45.48,45.48,45.48,0,0,0
2019-12-18 12:28:00+01:00,45.5,45.5,45.5,45.5,0,0,0
2019-12-18 12:59:00+01:00,45.51,45.51,45.51,45.51,0,0,0
2019-12-18 13:04:00+01:00,45.52,45.52,45.52,45.52,0,0,0
2019-12-18 14:00:00+01:00,45.53,45.53,45.53,45.53,0,0,0
2019-12-18 15:28:00+01:00,45.61,45.61,45.61,45.61,0,0,0
2019-12-18 15:49:00+01:00,45.53,45.53,45.53,45.53,0,0,0
2019-12-18 16:38:00+01:00,45.49,45.49,45.49,45.49,0,0,0
2019-12-18 17:16:00+01:00,45.51,45.51,45.51,45.51,0,0,0
2019-12-19 08:19:00+01:00,45.57,45.57,45.57,45.57,0,0,0
2019-12-19 09:36:00+01:00,45.65,45.65,45.65,45.65,0,0,0
2019-12-19 10:30:00+01:00,45.65,45.65,45.65,45.65,0,0,0
2019-12-19 12:55:00+01:00,45.65,45.65,45.65,45.65,0,0,0
2019-12-19 14:24:00+01:00,45.67,45.67,45.67,45.67,0,0,0
2019-12-19 15:22:00+01:00,45.69,45.69,45.69,45.69,0,0,0
2019-12-19 16:11:00+01:00,45.64,45.64,45.64,45.64,0,0,0
2019-12-19 17:08:00+01:00,45.74,45.74,45.74,45.74,0,0,0
2019-12-19 17:29:00+01:00,45.72,45.72,45.72,45.72,0,0,0
2019-12-19 17:51:00+01:00,45.65,45.65,45.65,45.65,0,0,0
2019-12-19 17:56:00+01:00,45.65,45.65,45.65,45.65,0,0,0
2019-12-19 18:01:00+01:00,45.66,45.66,45.66,45.66,0,0,0
2019-12-19 18:43:00+01:00,45.69,45.69,45.69,45.69,0,0,0
2019-12-19 19:22:00+01:00,45.69,45.69,45.69,45.69,0,0,0
2019-12-19 19:29:00+01:00,45.69,45.69,45.69,45.69,0,0,0
2019-12-20 08:17:00+01:00,45.73,45.73,45.73,45.73,0,0,0
2019-12-20 09:33:00+01:00,45.81,45.81,45.81,45.81,0,0,0
2019-12-20 09:53:00+01:00,45.86,45.86,45.86,45.86,0,0,0
2019-12-20 10:41:00+01:00,45.83,45.83,45.83,45.83,0,0,0
2019-12-20 13:15:00+01:00,45.96,45.96,45.96,45.96,0,0,0
2019-12-20 14:05:00+01:00,45.97,45.97,45.97,45.97,0,0,0
2019-12-20 14:54:00+01:00,46.04,46.04,46.04,46.04,0,0,0
2019-12-20 16:35:00+01:00,46.01,46.01,46.01,46.01,0,0,0
2019-12-20 17:32:00+01:00,46.1,46.1,46.1,46.1,0,0,0
2019-12-20 17:49:00+01:00,46.06,46.06,46.06,46.06,0,0,0
2019-12-20 19:02:00+01:00,46.06,46.06,46.06,46.06,0,0,0
2019-12-20 19:28:00+01:00,46.06,46.06,46.06,46.06,0,0,0
2019-12-23 09:06:00+01:00,45.92,45.92,45.92,45.92,0,0,0
2019-12-23 14:26:00+01:00,46.03,46.03,46.03,46.03,0,0,0
2019-12-23 18:38:00+01:00,45.85,45.85,45.85,45.85,0,0,0
2019-12-23 18:38:00+01:00,45.85,45.85,45.85,45.85,0,0,0
2019-12-27 09:10:00+01:00,45.86,45.86,45.86,45.86,0,0,0
2019-12-27 09:44:00+01:00,45.87,45.87,45.87,45.87,0,0,0
2019-12-27 11:11:00+01:00,45.83,45.83,45.83,45.83,0,0,0
2019-12-27 12:46:00+01:00,45.84,45.84,45.84,45.84,0,0,0
2019-12-27 13:00:00+01:00,45.85,45.85,45.85,45.85,0,0,0
2019-12-27 14:54:00+01:00,45.78,45.78,45.78,45.78,0,0,0
2019-12-27 16:33:00+01:00,45.4,45.4,45.4,45.4,0,0,0
2019-12-27 16:57:00+01:00,45.51,45.51,45.51,45.51,0,0,0
2019-12-27 17:15:00+01:00,45.51,45.51,45.51,45.51,0,0,0
2019-12-27 18:03:00+01:00,45.49,45.49,45.49,45.49,0,0,0
2019-12-27 19:11:00+01:00,45.41,45.41,45.41,45.41,0,0,0
2019-12-30 08:16:00+01:00,45.27,45.27,45.27,45.27,0,0,0
2019-12-30 09:22:00+01:00,45.31,45.31,45.31,45.31,0,0,0
2019-12-30 09:59:00+01:00,45.38,45.38,45.38,45.38,0,0,0
2019-12-30 12:01:00+01:00,45.31,45.31,45.31,45.31,0,0,0
2019-12-30 12:14:00+01:00,45.3,45.3,45.3,45.3,0,0,0
2019-12-30 13:00:00+01:00,45.33,45.33,45.33,45.33,0,0,0
2019-12-30 13:29:00+01:00,45.37,45.37,45.37,45.37,0,0,0
